ticker,snapshot_date,spot,expiry,dte,option_type,strike,bid,ask,mid,last,iv,volume,open_interest,moneyness
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,685.0,58.11,61.63,59.870000000000005,57.04,0.48608912353515626,1.0,3,0.9197346505741949
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,695.0,48.14,51.65,49.894999999999996,39.92,0.422857333984375,,5,0.9331614337942562
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,700.0,43.15,46.67,44.91,35.34,0.39148557739257805,,5,0.9398748254042868
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,705.0,38.18,41.69,39.935,27.69,0.35950347534179683,44.0,44,0.9465882170143174
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,710.0,33.22,36.73,34.974999999999994,31.31,0.3280096496582031,9.0,6,0.9533016086243481
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,715.0,28.29,31.81,30.049999999999997,27.81,0.29761444580078117,1.0,0,0.9600150002343787
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,719.0,25.63,26.37,26.0,22.38,0.18994950683593753,3.0,4,0.9653857135224032
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,720.0,24.64,25.4,25.02,19.2,0.18628743408203124,,5,0.9667283918444093
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,723.0,21.77,22.51,22.14,22.46,0.17591156127929689,7.0,8,0.9707564268104276
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,724.0,20.85,21.57,21.21,21.95,0.17347017944335938,4.0,85,0.9720991051324338
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,725.0,19.98,20.61,20.295,20.2,0.1695639685058594,4.0,6,0.9734417834544399
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,728.0,17.15,17.8,17.475,16.4,0.16022568298339845,5.0,10,0.9774698184204583
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,729.0,16.24,16.88,16.56,15.18,0.15729602478027344,1.0,11,0.9788124967424644
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,730.0,15.34,15.97,15.655000000000001,15.59,0.15448843566894532,225.0,229,0.9801551750644705
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,731.0,14.47,15.07,14.77,10.35,0.1516808465576172,10.0,50,0.9814978533864767
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,732.0,13.61,14.17,13.89,13.07,0.14850705017089844,13.0,21,0.9828405317084827
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,733.0,12.76,13.27,13.015,12.26,0.14496704650878905,5.0,203,0.9841832100304889
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,734.0,11.91,12.42,12.165,12.1,0.14283083740234376,60.0,128,0.985525888352495
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,735.0,11.16,11.55,11.355,11.0,0.13953497192382813,131.0,1154,0.9868685666745012
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,736.0,10.36,10.69,10.524999999999999,10.52,0.1360560028076172,111.0,271,0.9882112449965073
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,737.0,9.47,9.89,9.68,8.11,0.13404186279296876,379.0,266,0.9895539233185134
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,738.0,8.74,9.09,8.915,9.26,0.13141737731933595,499.0,558,0.9908966016405195
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,739.0,8.03,8.19,8.11,8.27,0.1251918536376953,397.0,210,0.9922392799625256
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,740.0,7.29,7.44,7.365,7.41,0.12287254089355469,921.0,553,0.9935819582845318
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,741.0,6.53,6.73,6.630000000000001,6.37,0.1209194354248047,678.0,284,0.9949246366065378
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,742.0,5.84,6.03,5.9350000000000005,5.91,0.11841701904296875,1195.0,349,0.996267314928544
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,743.0,5.25,5.31,5.279999999999999,5.31,0.11463287719726564,2821.0,305,0.9976099932505501
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,744.0,4.64,4.68,4.66,4.68,0.11237459899902343,1864.0,415,0.9989526715725563
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,745.0,4.06,4.09,4.074999999999999,4.1,0.11017735534667968,2513.0,526,1.0002953498945624
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,746.0,3.51,3.54,3.525,3.48,0.1081021807861328,1638.0,369,1.0016380282165684
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,747.0,3.0,3.04,3.02,3.01,0.10624062713623048,2553.0,603,1.0029807065385747
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,748.0,2.54,2.57,2.5549999999999997,2.52,0.10407390075683592,2224.0,857,1.0043233848605808
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,749.0,2.12,2.15,2.135,2.15,0.10212079528808593,1781.0,431,1.005666063182587
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,750.0,1.76,1.77,1.7650000000000001,1.76,0.1001066552734375,5794.0,1127,1.007008741504593
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,751.0,1.43,1.45,1.44,1.44,0.09858079162597656,3244.0,513,1.008351419826599
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,752.0,1.15,1.17,1.16,1.17,0.09705492797851564,2888.0,729,1.0096940981486053
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,753.0,0.92,0.93,0.925,0.94,0.09559009887695313,1619.0,466,1.0110367764706114
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,754.0,0.72,0.73,0.725,0.73,0.09430837341308594,1305.0,380,1.0123794547926175
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,755.0,0.56,0.57,0.565,0.58,0.09333182067871094,1932.0,841,1.0137221331146236
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,756.0,0.43,0.44,0.435,0.43,0.09253837158203124,803.0,348,1.0150648114366299
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,757.0,0.33,0.34,0.335,0.33,0.09205009521484375,1470.0,193,1.016407489758636
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,758.0,0.25,0.26,0.255,0.26,0.09156181884765624,888.0,156,1.017750168080642
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,759.0,0.19,0.2,0.195,0.19,0.09156181884765624,2098.0,336,1.019092846402648
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,760.0,0.13,0.15,0.14,0.14,0.0913176806640625,1488.0,435,1.0204355247246542
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,761.0,0.1,0.11,0.10500000000000001,0.1,0.090829404296875,1087.0,124,1.0217782030466604
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,762.0,0.07,0.08,0.07500000000000001,0.07,0.0903411279296875,152.0,222,1.0231208813686665
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,763.0,0.05,0.06,0.055,0.06,0.090829404296875,128.0,81,1.0244635596906726
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,764.0,0.04,0.05,0.045,0.05,0.0922942333984375,1945.0,1932,1.0258062380126787
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,765.0,0.03,0.04,0.035,0.03,0.0937590625,257.0,253,1.027148916334685
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,766.0,0.03,0.04,0.035,0.03,0.0976652734375,75.0,1848,1.028491594656691
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,767.0,0.02,0.03,0.025,0.03,0.0976652734375,14.0,43,1.0298342729786971
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,768.0,0.02,0.03,0.025,0.03,0.10157148437499999,27.0,25,1.0311769513007032
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,769.0,0.02,0.03,0.025,0.01,0.1054776953125,144.0,56,1.0325196296227093
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,770.0,0.02,0.03,0.025,0.01,0.1088956298828125,181.0,74,1.0338623079447156
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,772.0,0.01,0.02,0.015,0.02,0.11133701171874999,476.0,23,1.0365476645887277
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,773.0,0.01,0.02,0.015,0.02,0.11426666992187501,8.0,82,1.0378903429107338
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,775.0,0.01,0.02,0.015,0.04,0.1211025390625,17.0,103,1.0405756995547462
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,778.0,0.01,0.02,0.015,0.03,0.131844619140625,220.0,341,1.0446037345207644
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,780.0,0.01,0.02,0.015,0.02,0.13868048828125001,1.0,63,1.0472890911647768
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,781.0,0.01,0.02,0.015,0.02,0.14258669921875,3.0,8,1.0486317694867828
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,783.0,0.01,0.02,0.015,0.01,0.148446015625,1.0,2,1.0513171261307952
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,785.0,0.01,0.02,0.015,0.01,0.1562584375,1.0,21,1.0540024827748073
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,786.0,0.01,0.02,0.015,0.01,0.15821154296875,5.0,103,1.0553451610968134
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,805.0,0.01,0.02,0.015,0.01,0.22071091796874998,36.0,11,1.0808560492149297
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,810.0,0.0,0.01,,0.01,0.22266402343749997,20.0,46,1.0875694408249605
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,820.0,0.0,0.01,,0.01,0.2500075,10.0,30,1.1009962240450217
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,825.0,0.0,0.01,,0.02,0.26563234375,315.0,278,1.1077096156550523
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,830.0,0.0,0.01,,0.01,0.28125718749999995,326.0,285,1.114423007265083
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,835.0,0.0,0.01,,0.01,0.2929758203124999,190.0,100,1.1211363988751135
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,840.0,0.0,0.01,,0.01,0.3086006640625,66.0,66,1.127849790485144
SPY,2026-07-02,744.780029296875,2026-07-09,7,call,845.0,0.0,0.01,,0.01,0.32031929687499994,228.0,228,1.1345631820951747
SPY,2026-07-02,744.780029296875,2026-07-09,7,put,585.0,0.0,0.01,,0.01,0.5625043750000001,51.0,386,0.7854668183735826
SPY,2026-07-02,744.780029296875,2026-07-09,7,put,590.0,0.0,0.01,,0.01,0.5468795312500001,40.0,375,0.7921802099836132
SPY,2026-07-02,744.780029296875,2026-07-09,7,put,595.0,0.0,0.01,,0.05,0.5312546875,20.0,125,0.7988936015936438
SPY,2026-07-02,744.780029296875,2026-07-09,7,put,600.0,0.0,0.01,,0.01,0.500005,71.0,39,0.8056069932036743
SPY,2026-07-02,744.780029296875,2026-07-09,7,put,605.0,0.0,0.01,,0.03,0.51562984375,60.0,158,0.812320384813705
SPY,2026-07-02,744.780029296875,2026-07-09,7,put,610.0,0.01,0.02,0.015,0.03,0.51562984375,77.0,274,0.8190337764237356
SPY,2026-07-02,744.780029296875,2026-07-09,7,put,620.0,0.01,0.02,0.015,0.03,0.48438015625,36.0,151,0.8324605596437968
SPY,2026-07-02,744.780029296875,2026-07-09,7,put,625.0,0.01,0.02,0.015,0.04,0.4687553125,5.0,27,0.8391739512538275
SPY,2026-07-02,744.780029296875,2026-07-09,7,put,630.0,0.01,0.02,0.015,0.04,0.44922425781249997,1.0,163,0.8458873428638581
SPY,2026-07-02,744.780029296875,2026-07-09,7,put,635.0,0.01,0.02,0.015,0.01,0.42969320312500003,22.0,25,0.8526007344738887
SPY,2026-07-02,744.780029296875,2026-07-09,7,put,640.0,0.01,0.02,0.015,0.02,0.4101621484375,2.0,45,0.8593141260839193
SPY,2026-07-02,744.780029296875,2026-07-09,7,put,645.0,0.01,0.02,0.015,0.02,0.39063109375,60.0,389,0.86602751769395
